world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year
130,Osaka University,Japan,61.7,20.1,63.4,40.0,73.4,53.4,"23,144",7.8,9%,31 : 69,2011
130,University of Victoria,Canada,32.9,-,48.3,79.1,27.4,53.4,"17,581",21.5,11%,56 : 44,2011
132,Tohoku University,Japan,60.3,20.1,62.5,41.2,82.3,53.3,"17,200",5,7%,25 : 75,2011
132,University of Freiburg,Germany,52.4,46.2,41.4,64.3,79.8,53.3,"26,467",31.2,16%,52 : 48,2011
132,University of Iowa,United States of America,48.6,31.7,59.8,54.8,-,53.3,"27,526",11.6,11%,52 : 48,2011
135,University of Bergen,Norway,39.9,66.6,42.1,73.1,41.5,52.7,"11,623",11.1,12%,60 : 40,2011
136,University of Lausanne,Switzerland,43.1,84.1,50.5,59.1,42.5,52.6,"11,964",13.1,22%,,2011
137,University of Sheffield,United Kingdom,48.9,62.7,49.2,58.4,40.3,52.5,"23,311",15.5,31%,50 : 50,2011
138,University of Montreal,Canada,56.1,-,49.4,51.9,-,52.4,"38,264",20.3,25%,57 : 43,2011
139,VU University Amsterdam,Netherlands,47.6,30.6,51.6,58.5,81.4,52.3,"23,280",16.3,6%,56 : 44,2011
140,Pierre and Marie Curie University,France,51.9,30.7,37.2,71.5,26.4,52.2,"27,862",8.7,18%,48 : 52,2011
140,University of Dundee,United Kingdom,34.1,54.4,41.0,79.3,49.3,52.2,"11,628",15.3,25%,60 : 40,2011
142,University of Barcelona,Spain,34.1,22.3,33.7,91.9,30.0,52.1,"47,491",12.2,10%,62 : 38,2011
143,Utrecht University,Netherlands,43.4,52.6,53.0,58.8,55.3,52.0,"30,779",15.4,7%,59 : 41,2011
144,Wageningen University and Research Center,Netherlands,58.5,24.3,48.8,53.0,-,51.9,"9,248",17,21%,56 : 44,2011
145,University of Auckland,New Zealand,34.8,94.3,39.2,71.8,61.1,51.8,"29,787",18.9,28%,54 : 46,2011
145,University of Birmingham,United Kingdom,50.3,73.8,50.7,52.1,34.8,51.8,"25,295",16.4,23%,54 : 46,2011
147,Alexandria University,Egypt,29.5,19.3,28.0,99.8,36.0,51.6,"127,431",23.3,1%,46 : 54,2011
147,Uppsala University,Sweden,49.6,77.9,62.2,40.7,39.5,51.6,"25,266",18.2,12%,57 : 43,2011
149,Hong Kong Polytechnic University,Hong Kong,39.4,82.9,45.7,62.4,57.2,51.4,"22,064",25.9,26%,51 : 49,2011
149,University of Aberdeen,United Kingdom,37.8,86.1,45.2,64.6,47.0,51.4,"12,938",15.8,33%,54 : 46,2011
151,Delft University of Technology,Netherlands,55.5,47.4,67.7,29.0,99.4,51.3,"15,920",19.4,25%,26 : 74,2011
152,"Birkbeck, University of London",United Kingdom,41.2,88.5,35.8,70.6,27.4,51.2,"9,454",17.2,38%,55 : 45,2011
152,Newcastle University,United Kingdom,42.7,80.5,42.8,63.6,31.1,51.2,"20,174",15.2,29%,50 : 50,2011
152,University of New South Wales,Australia,49.5,70.7,48.9,51.2,60.0,51.2,"38,309",25.9,33%,47 : 53,2011
155,Pompeu Fabra University,Spain,35.0,44.1,33.0,84.7,40.0,51.1,"10,901",18.3,13%,59 : 41,2011
156,Indiana University,United States of America,48.5,37.7,42.5,63.2,-,51.0,"62,468",13.6,13%,53 : 47,2011
156,Iowa State University,United States of America,49.3,23.2,49.6,58.2,49.6,51.0,"29,991",17.4,11%,44 : 56,2011
158,Georgia Health Sciences University,United States of America,67.3,16.3,41.7,48.9,50.1,50.7,,,,,2011
159,Erasmus University Rotterdam,Netherlands,39.4,58.6,43.6,65.5,-,50.4,"20,580",18.9,18%,48 : 52,2011
159,University of Delaware,United States of America,38.4,16.8,51.9,61.3,100.0,50.4,"19,262",15.9,10%,56 : 44,2011
161,Arizona State University,United States of America,43.0,24.1,44.1,66.9,-,50.3,"83,236",29.9,9%,50 : 50,2011
161,Boston College,United States of America,40.1,31.6,33.6,78.0,-,50.3,"13,216",17.4,19%,54 : 46,2011
163,National Sun Yat-Sen University,Taiwan,46.1,21.3,50.6,58.9,37.5,50.2,"9,336",19.6,4%,37 : 63,2011
164,Georgetown University,United States of America,65.1,24.7,44.7,45.0,-,50.1,"15,408",8.5,14%,53 : 47,2011
165,University of Amsterdam,Netherlands,42.5,38.2,49.2,60.2,38.8,50.0,"24,570",14.4,11%,53 : 47,2011
165,University of Liverpool,United Kingdom,40.8,59.8,47.8,59.6,40.6,50.0,"18,815",13.6,30%,52 : 48,2011
167,Aarhus University,Denmark,38.1,33.4,55.6,57.3,61.5,49.9,"23,895",13.6,14%,54 : 46,2011
168,University of Leeds,United Kingdom,46.2,50.0,48.0,55.6,38.3,49.8,"27,703",14.7,21%,58 : 42,2011
168,University of Würzburg,Germany,48.7,40.3,40.9,60.4,-,49.8,"26,576",38.4,8%,57 : 43,2011
170,University of Groningen,Netherlands,41.7,35.5,56.4,54.1,34.2,49.7,"24,556",25.6,12%,52 : 48,2011
171,Sun Yat-sen University,China,46.2,29.3,34.7,70.2,41.2,49.6,"51,351",16.6,8%,51 : 49,2011
172,Goethe University Frankfurt,Germany,39.2,56.1,37.3,69.5,41.6,49.4,"31,861",9.3,15%,60 : 40,2011
173,Bielefeld University,Germany,39.9,-,35.7,70.4,-,49.3,"21,428",67.8,8%,57 : 43,2011
174,Nanyang Technological University,Singapore,43.6,96.3,51.7,45.0,40.0,49.0,"25,028",16.2,33%,48 : 52,2011
174,University of East Anglia,United Kingdom,42.1,62.8,40.4,62.8,29.7,49.0,"14,992",14.7,28%,58 : 42,2011
174,University of Nottingham,United Kingdom,46.8,74.8,44.1,52.5,38.4,49.0,"30,144",15,27%,54 : 46,2011
177,University of Copenhagen,Denmark,44.1,45.8,45.7,58.3,26.1,48.8,"27,545",4.1,19%,67 : 33,2011
178,Humboldt University of Berlin,Germany,50.9,46.1,44.5,52.0,27.8,48.5,"29,987",52.5,16%,,2011
178,Monash University,Australia,39.4,87.1,38.8,60.5,40.8,48.5,"50,882",40.5,36%,56 : 44,2011
178,University of Bonn,Germany,46.8,46.8,33.8,65.3,29.4,48.5,"32,474",70.4,13%,55 : 45,2011
181,National Chiao Tung University,Taiwan,53.2,57.9,54.4,32.9,98.7,48.3,"12,646",16.6,5%,27 : 73,2011
182,RWTH Aachen University,Germany,50.0,63.8,42.5,48.9,56.6,48.2,"37,917",27.6,16%,31 : 69,2011
183,Middle East Technical University,Turkey,39.5,27.2,39.5,66.4,43.9,47.7,"25,779",22.2,7%,44 : 56,2011
184,University of Exeter,United Kingdom,40.4,62.8,42.5,57.9,32.2,47.6,"17,755",18.8,28%,54 : 46,2011
185,University of Twente,Netherlands,49.9,62.4,48.3,42.0,49.8,47.5,"6,631",12,26%,37 : 63,2011
